,Player_Id,Runs,Balls_played,Strike_Rate,cluster,@id,shortName
0,1,1349.0,1326,101.73,2,1,MS Dhoni
1,2,2435.0,1954,124.62,1,2,A Mukund
2,4,1322.0,1101,120.07,2,4,G Vignesh
3,6,2170.0,1918,113.14,1,6,K Vasudevadas
4,7,130.0,129,100.78,0,7,M Vijay
5,8,4105.0,3236,126.85,3,8,R Ashwin
6,9,2427.0,2291,105.94,1,9,R Jadeja
7,10,971.0,774,125.45,2,10,S Jakati
8,11,394.0,318,123.9,4,11,S Anirudha
9,12,76.0,57,133.33,0,12,S Badrinath
10,14,332.0,314,105.73,0,14,S Raina
11,17,1927.0,1752,109.99,1,17,B Hilfenhaus
12,18,1107.0,839,131.94,2,18,D Bollinger
13,19,1977.0,1648,119.96,1,19,G Bailey
14,20,3270.0,2419,135.18,3,20,M Hussey
15,21,4106.0,3059,134.23,3,21,S Randiv
16,23,1441.0,1245,115.74,2,23,N Kulasekara
17,25,417.0,314,132.8,4,25,DJ Bravo
18,26,1687.0,1424,118.47,2,26,A Morkel
19,27,2339.0,1862,125.62,1,27,K Sangakkara
20,28,237.0,191,124.08,0,28,A Bhandari
21,29,1148.0,982,116.9,2,29,AP Reddy
22,31,2779.0,1953,142.29,1,31,A Rajan
23,32,2553.0,1869,136.6,1,32,A Sharma
24,33,259.0,258,100.39,0,33,A Yadav
25,35,1574.0,1340,117.46,2,35,B Chipli
26,37,33.0,24,137.5,0,37,I Jaggi
27,40,3634.0,3028,120.01,3,40,M Gony
28,41,2728.0,1833,148.83,1,41,S Dhawan
29,42,3082.0,2622,117.54,3,42,S Sohal
30,44,768.0,573,134.03,4,44,P Patel
31,46,3390.0,2721,124.59,3,46,A Salvi
32,48,672.0,588,114.29,4,48,A Dinda
33,49,147.0,116,126.72,0,49,I Pathan
34,50,783.0,574,136.41,4,50,K Raval
35,52,1017.0,847,120.07,2,52,N Ojha
36,53,2065.0,1554,132.88,1,53,P Negi
37,54,985.0,865,113.87,2,54,P Naik
38,55,282.0,271,104.06,0,55,P Bisht
39,56,974.0,781,124.71,2,56,R Bist
40,57,3874.0,2996,129.31,3,57,S Nadeem
41,232,133.0,122,109.02,0,232,K Cooper
42,60,81.0,73,110.96,0,60,U Chand
43,62,1323.0,1025,129.07,2,62,V Rao
44,63,399.0,358,111.45,4,63,V Mishra
45,64,1808.0,1522,118.79,1,64,Y Nagar
46,65,368.0,311,118.33,4,65,A Gilchrist
47,66,124.0,102,121.57,0,66,A Nayar
48,67,513.0,461,111.28,4,67,A Yadav
49,71,1262.0,1032,122.29,2,71,L Ablish
50,72,24.0,22,109.09,0,72,M Singh
51,74,739.0,690,107.1,4,74,P Dogra
52,78,4.0,3,133.33,0,78,R Sathish
53,79,1218.0,1064,114.47,2,79,S Srivastava
54,81,304.0,285,106.67,0,81,S Singh
55,82,179.0,160,111.88,0,82,V Malik
56,83,113.0,109,103.67,0,83,R Powar
57,85,2675.0,2274,117.63,1,85,I Abdulla
58,86,52.0,49,106.12,0,86,J Unadkat
59,87,1324.0,1202,110.15,2,87,L Balaji
60,88,2542.0,2092,121.51,1,88,L Ratan Shukla
61,89,326.0,273,119.41,0,89,M Tiwary
62,90,177.0,124,142.74,0,90,M Bisla
63,93,280.0,256,109.38,0,93,S Ladda
64,94,166.0,161,103.11,0,94,M Shami
65,95,304.0,267,113.86,0,95,S Goswami
66,96,1827.0,1586,115.2,1,96,Y Pathan
67,97,886.0,837,105.85,2,97,S Tendulkar
68,98,11.0,9,122.22,0,98,A Nechim
69,100,2225.0,1715,129.74,1,100,A Rayudu
70,101,423.0,352,120.17,4,101,D Kulkarni
71,102,36.0,31,116.13,0,102,D Karthik
72,103,193.0,172,112.21,0,103,H Singh
73,104,1400.0,1153,121.42,2,104,M Patel
74,107,196.0,171,114.62,0,107,R Sharma
75,108,145.0,115,126.09,0,108,S Yadav
76,109,975.0,712,136.94,2,109,S Marathe
77,110,3270.0,2231,146.57,3,110,T Suman
78,111,40.0,27,148.15,0,111,Y Chahal
79,112,375.0,325,115.38,4,112,RP Singh
80,113,117.0,82,142.68,0,113,Y Singh
81,114,192.0,183,104.92,0,114,A Murtaza
82,115,20.0,18,111.11,0,115,A Nehra
83,119,36.0,30,120.0,0,119,H Singh
84,120,99.0,76,130.26,0,120,H Khadiwale
85,125,136.0,121,112.4,0,125,M Kartik
86,129,31.0,26,119.23,0,129,S Wagh
87,133,2329.0,2043,114.0,1,133,A Raut
88,135,1153.0,1047,110.12,2,135,A Rahane
89,139,302.0,251,120.32,0,139,A Menaria
90,140,83.0,79,105.06,0,140,D Chahar
91,147,2146.0,1645,130.46,1,147,S Trivedi
92,148,99.0,92,107.61,0,148,S Binny
93,149,4.0,3,133.33,0,149,S Narwal
94,153,67.0,64,104.69,0,153,A Karthik
95,154,1993.0,1634,121.97,1,154,A Pathan
96,155,62.0,57,108.77,0,155,CM Gautam
97,157,604.0,466,129.61,4,157,H Patel
98,158,1001.0,758,132.06,2,158,M Agarwal
99,161,531.0,468,113.46,4,161,R Ninan
100,162,3447.0,2360,146.06,3,162,S Arvind
101,163,692.0,564,122.7,4,163,S Tiwary
102,164,19.0,17,111.76,0,164,V Kohli
103,166,268.0,243,110.29,0,166,V Kumar
104,167,501.0,432,115.97,4,167,A Finch
105,169,194.0,172,112.79,0,169,M Morkel
106,171,514.0,486,105.76,4,171,J Hopes
107,175,121.0,118,102.54,0,175,M Jayawardene
108,176,167.0,135,123.7,0,176,D Bracewell
109,177,159.0,144,110.42,0,177,A Russell
110,178,676.0,587,115.16,4,178,C White
111,182,81.0,71,114.08,0,182,JP Duminy
112,183,1474.0,1286,114.62,2,183,J Theron
113,185,2511.0,2092,120.03,1,185,D Harris
114,187,3373.0,2440,138.24,3,187,D Miller
115,188,117.0,112,104.46,0,188,D Mascarenhas
116,190,126.0,93,135.48,0,190,R Harris
117,191,692.0,571,121.19,4,191,S Marsh
118,192,409.0,364,112.36,4,192,S Broad
119,197,663.0,552,120.11,4,197,E Morgan
120,198,123.0,103,119.42,0,198,J Kallis
121,199,285.0,271,105.17,0,199,J Pattinson
122,204,506.0,405,124.94,4,204,M de Lange
123,207,321.0,260,123.46,0,207,C McKay
124,208,2325.0,1884,123.41,1,208,D Jacobs
125,209,270.0,236,114.41,0,209,J Franklin
126,214,798.0,737,108.28,4,214,R Peterson
127,216,789.0,663,119.0,4,216,A Thomas
128,217,26.0,25,104.0,0,217,A Mathews
129,221,1959.0,1380,141.96,1,221,M Marsh
130,224,278.0,198,140.4,0,224,J Botha
131,226,37.0,29,127.59,0,226,R Taylor
132,229,183.0,179,102.23,0,229,B Hodge
133,230,181.0,143,126.57,0,230,D Chandimal
134,231,237.0,213,111.27,0,231,B Hogg
135,236,924.0,760,121.58,2,236,C Gayle
136,237,626.0,490,127.76,4,237,D Nannes
137,240,10.0,9,111.11,0,240,T Dilshan
138,241,203.0,159,127.67,0,241,M Muralitharan
139,244,34.0,26,130.77,0,244,S Kishore
140,245,34.0,23,147.83,0,245,T Mishra
141,246,36.0,27,133.33,0,246,TP Sudhindra
142,253,225.0,201,111.94,0,253,GM Singh
143,254,1304.0,1080,120.74,2,254,P Awana
144,258,341.0,299,114.05,4,258,S Samson
145,260,788.0,663,118.85,4,260,A Singh
146,264,43.0,31,138.71,0,264,A Wankhade
147,266,401.0,367,109.26,4,266,R Levi
148,268,18.0,17,105.88,0,268,M Rawat
149,270,27.0,19,142.11,0,270,R Gomez
150,274,20.0,19,105.26,0,274,G Singh
151,275,321.0,309,103.88,0,275,O Shah
152,276,499.0,400,124.75,4,276,K Nair
153,277,170.0,142,119.72,0,277,R More
154,280,423.0,325,130.15,4,280,S Thiyagrajan
155,281,26.0,23,113.04,0,281,S Mohammad
156,283,29.0,27,107.41,0,283,G Bodi
157,284,326.0,238,136.97,0,284,A Jhunjhunwala
158,285,75.0,59,127.12,0,285,L Wright
159,289,120.0,91,131.87,0,289,S Sriram
160,297,12.0,11,109.09,0,297,K Jadhav
161,300,19.0,18,105.56,0,300,B Akhil
162,301,91.0,82,110.98,0,301,VVS Laxman
163,303,1287.0,1036,124.23,2,303,T Paine
164,304,83.0,74,112.16,0,304,AN Ahmed
165,306,1241.0,933,133.01,2,306,MV Boucher
166,308,503.0,390,128.97,4,308,I Malhotra
167,310,473.0,346,136.71,4,310,GD McGrath
168,311,47.0,38,123.68,0,311,MF Maharoof
169,312,12.0,9,133.33,0,312,Mohammad Asif
170,313,111.0,103,107.77,0,313,B Geeves
171,314,62.0,53,116.98,0,314,S Malik
172,320,1480.0,1053,140.55,2,320,NK Patel
173,321,388.0,311,124.76,4,321,Sohail Tanvir
174,322,209.0,170,122.94,0,322,K Goel
175,325,280.0,196,142.86,0,325,R Sarwan
176,327,125.0,116,107.76,0,327,U Kaul
177,328,98.0,96,102.08,0,328,WA Mota
178,329,342.0,280,122.14,4,329,DT Patil
179,330,87.0,77,112.99,0,330,Abdur Razzak
180,332,12.0,9,133.33,0,332,Misbah-ul-Haq
181,336,89.0,85,104.71,0,336,J Arunkumar
182,339,877.0,700,125.29,4,339,RV Pawar
183,341,14.0,13,107.69,0,341,VS Yeligati
184,345,728.0,580,125.52,4,345,D Fernando
185,351,1040.0,890,116.85,2,351,M Ntini
186,353,193.0,146,132.19,0,353,CK Kapugedera
187,354,725.0,592,122.47,4,354,S Vidyut
188,355,726.0,566,128.27,4,355,P Amarnath
189,356,153.0,135,113.33,0,356,Shoaib Akhtar
190,360,169.0,158,106.96,0,360,Salman Butt
191,364,61.0,53,115.09,0,364,DNT Zoysa
192,369,122.0,89,137.08,0,369,DP Vijaykumar
193,372,379.0,284,133.45,4,372,YA Abdulla
194,374,379.0,323,117.34,4,374,R Bopara
195,377,47.0,33,142.42,0,377,LA Carseldine
196,379,40.0,36,111.11,0,379,R Bishnoi
197,380,53.0,51,103.92,0,380,D du Preez
198,383,942.0,762,123.62,2,383,Mohammad Ashraful
199,384,29.0,26,111.54,0,384,C Nanda
200,390,16.0,13,123.08,0,390,AN Ghosh
201,391,38.0,32,118.75,0,391,M Mortaza
202,393,469.0,406,115.52,4,393,T Thushara
203,394,295.0,224,131.7,0,394,AA Bilakhia
204,397,15.0,13,115.38,0,397,RS Sodhi
205,398,48.0,33,145.45,0,398,A Barath
206,400,156.0,134,116.42,0,400,A Voges
207,401,127.0,94,135.11,0,401,A Uniyal
208,406,7.0,6,116.67,0,406,MB Parmar
209,407,255.0,189,134.92,0,407,RS Gavaskar
210,409,146.0,111,131.53,0,409,B Sumanth
211,410,42.0,41,102.44,0,410,K Roach
212,412,19.0,13,146.15,0,412,Anureet Singh
213,417,54.0,42,128.57,0,417,M du Preez
214,420,198.0,155,127.74,0,420,D Devnarain
215,421,88.0,66,133.33,0,421,S Fritz
216,422,13.0,11,118.18,0,422,A Hodgkinson
217,426,127.0,105,120.95,0,426,M Letsoalo
218,427,157.0,122,128.69,0,427,S Loubser
219,428,14.0,13,107.69,0,428,S Luus
220,431,104.0,78,133.33,0,431,M Guptill
